Legajo,PUNTAJE PP,PUNTAJE SP
48069975,12.0,6.0
47911310,94.5,100.0
48070172,79.7,83.0
48819658,47.0,35.0
48124278,27.0,16.0
38417872,0.0,0.0
47713920,64.0,77.0
48124714,35.0,Ausente
47908753,Ausente,Ausente
32833075,Ausente,Ausente
35578529,Ausente,Ausente
48457733,60.6,38.5
38180368,74.2,80.0
46657272,58.2,31.0
47995836,Ausente,Ausente
46589078,Ausente,Ausente
44897793,Ausente,Ausente
38332629,Ausente,Ausente
46657021,24.5,17.0
41650305,79.8,63.5
49406144,86.3,90.0
46655482,16.5,Ausente
48338840,83.0,83.0
43759906,14.0,Ausente
45242560,Ausente,Ausente
38418255,Ausente,Ausente
20225070,25.0,Ausente
38645502,Ausente,Ausente
47174987,11.0,12.0
17114690,Ausente,Ausente
45108171,Ausente,Ausente
34094449,Ausente,Ausente
47930608,Ausente,Ausente
48956806,Ausente,Ausente
44500922,Ausente,Ausente
46256305,Ausente,Ausente
35567068,Ausente,Ausente
47320368,60.0,62.5
31868087,Ausente,Ausente
200077070,Ausente,Ausente
42384563,Ausente,Ausente
41519623,Ausente,Ausente
42437822,32.5,Ausente
43879814,Ausente,Ausente
47711575,Ausente,Ausente
47857956,Ausente,Ausente
47750490,Ausente,Ausente
39000525,Ausente,Ausente
35929758,Ausente,Ausente
48123576,Ausente,Ausente
48816085,9.5,0.0
47907407,Ausente,Ausente
43811967,9.5,Ausente
47591752,Ausente,Ausente
94334971,87.0,79.0
47001396,28.0,Ausente
43231662,Ausente,Ausente
47266459,Ausente,Ausente
47578442,32.0,Ausente
43525688,Ausente,Ausente
44767810,Ausente,Ausente
43369599,78.0,86.0
47474525,86.0,58.0
37195304,Ausente,Ausente
47597440,52.0,79.0
93796245,Ausente,Ausente
40109631,Ausente,Ausente
33751276,Ausente,Ausente
38000692,Ausente,Ausente
47819345,Ausente,Ausente
45695432,78.5,84.0
44148120,Ausente,Ausente
47821150,79.0,84.0
44359566,5.0,Ausente
47775875,Ausente,Ausente
47984802,13.0,Ausente
43834978,Ausente,Ausente
36234080,Ausente,Ausente
48243431,Ausente,Ausente
44872577,87.0,85.0
47708604,26.0,25.0
47777033,33.5,29.0
48901605,77.45,71.5
45932245,Ausente,Ausente
48330143,24.0,Ausente
48335667,65.0,65.0
40689530,Ausente,Ausente
48273848,25.5,10.0
44897211,Ausente,Ausente
48457180,85.5,95.0
48681531,94.0,99.0
48074589,Ausente,Ausente
33700828,Ausente,Ausente
96179653,0.0,0.5
47911742,33.5,29.5
47350926,Ausente,Ausente
200430068,69.0,63.0
41712932,47.0,34.0
48671701,Ausente,Ausente
48068066,Ausente,Ausente
38329809,80.5,95.0
38329809,Ausente,95.0
47578648,22.5,Ausente
48142527,86.5,95.0
48249883,16.0,Ausente
45704462,Ausente,Ausente
36269194,3.0,Ausente
46849719,94.0,100.0
45934085,Ausente,Ausente
47466838,Ausente,Ausente
38413379,Ausente,Ausente
43560344,Ausente,Ausente
40385245,Ausente,Ausente
44971703,Ausente,Ausente
45104996,Ausente,Ausente
42846156,Ausente,Ausente
45408490,Ausente,Ausente
48457151,Ausente,Ausente
43299127,Ausente,Ausente
43561571,Ausente,Ausente
42641154,Ausente,Ausente
27463745353,Ausente,Ausente
43998363,Ausente,Ausente
32002906,Ausente,Ausente
46847094,Ausente,Ausente
200174094,Ausente,Ausente
71154013,Ausente,Ausente
48663051,31.0,10.0
47174166,15.0,3.0
42051784,65.0,88.0
46718614,Ausente,Ausente
47674240,0.0,Ausente
47579191,61.0,60.0
47821253,84.0,83.0
48534766,45.0,56.0
47906837,77.0,66.0
48127282,Ausente,Ausente
38647743,56.0,38.0
23763112,Ausente,Ausente
46223489,6.0,4.0
47904326,5.0,Ausente
47170970,73.0,63.0
47729579,51.0,14.0
46707825,22.0,Ausente
46845662,Ausente,Ausente
45081091,90.5,84.0
38685326,Ausente,Ausente
46719553,94.0,87.0
46661671,56.0,37.0
48411307,21.0,21.0
43168582,47.0,Ausente
47303503,58.0,70.0
44762298,Ausente,Ausente
48488099,33.0,2.0
47352270,Ausente,Ausente
48189842,17.0,8.0
46657847,Ausente,Ausente
47831982,Ausente,Ausente
46224413,27.5,56.5
35571148,Ausente,Ausente
44896318,46.0,34.0
43879973,79.0,61.0
39395925,20.5,Ausente
43060491,76.0,47.0
47363696,94.0,92.0
46454585,0.0,Ausente
43272910,84.0,85.0
46536175,49.0,64.0
47501184,66.0,48.0
48070184,0.0,Ausente
43869773,24.0,14.0
47819053,51.0,34.0
46510760,Ausente,Ausente
42813984,0.0,2.0
47915689,Ausente,Ausente
47995733,67.0,29.0
47265933,2.0,Ausente
47002074,Ausente,Ausente
37731120,Ausente,Ausente
28900462,Ausente,Ausente
46076017,Ausente,Ausente
47583064,Ausente,Ausente
46447600,Ausente,Ausente
45699829,Ausente,Ausente
48689118,98.5,92.0
47002057,40.5,23.0
42446898,Ausente,Ausente
48128409,3.0,Ausente
47984451,Ausente,Ausente
47475139,Ausente,Ausente
45836972,88.3,100.0
44076125,68.5,85.0
32540963,Ausente,Ausente
46505841,55.5,64.0
46588455,23.0,2.0
31921611,Ausente,Ausente
46588185,82.2,88.0
48266044,79.0,Ausente
47319073,28.5,24.0
47577085,50.5,67.0
46767099,4.0,0.0
